Date,WTI
11/1/1996,23.71
12/1/1996,25.23
1/1/1997,25.13
2/1/1997,22.18
3/1/1997,20.97
4/1/1997,19.7
5/1/1997,20.82
6/1/1997,19.26
7/1/1997,19.66
8/1/1997,19.95
9/1/1997,19.8
10/1/1997,21.33
11/1/1997,20.19
12/1/1997,18.33
1/1/1998,16.72
2/1/1998,16.06
3/1/1998,15.12
4/1/1998,15.35
5/1/1998,14.91
6/1/1998,13.72
7/1/1998,14.17
8/1/1998,13.47
9/1/1998,15.03
10/1/1998,14.46
11/1/1998,13
12/1/1998,11.35
1/1/1999,12.52
2/1/1999,12.01
3/1/1999,14.68
4/1/1999,17.31
5/1/1999,17.72
6/1/1999,17.92
7/1/1999,20.1
8/1/1999,21.28
9/1/1999,23.8
10/1/1999,22.69
11/1/1999,25
12/1/1999,26.1
1/1/2000,27.26
2/1/2000,29.37
3/1/2000,29.84
4/1/2000,25.72
5/1/2000,28.79
6/1/2000,31.82
7/1/2000,29.7
8/1/2000,31.26
9/1/2000,33.88
10/1/2000,33.11
11/1/2000,34.42
12/1/2000,28.44
1/1/2001,29.59
2/1/2001,29.61
3/1/2001,27.25
4/1/2001,27.49
5/1/2001,28.63
6/1/2001,27.6
7/1/2001,26.43
8/1/2001,27.37
9/1/2001,26.2
10/1/2001,22.17
11/1/2001,19.64
12/1/2001,19.39
1/1/2002,19.72
2/1/2002,20.72
3/1/2002,24.53
4/1/2002,26.18
5/1/2002,27.04
6/1/2002,25.52
7/1/2002,26.97
8/1/2002,28.39
9/1/2002,29.66
10/1/2002,28.84
11/1/2002,26.35
12/1/2002,29.46
1/1/2003,32.95
2/1/2003,35.83
3/1/2003,33.51
4/1/2003,28.17
5/1/2003,28.11
6/1/2003,30.66
7/1/2003,30.76
8/1/2003,31.57
9/1/2003,28.31
10/1/2003,30.34
11/1/2003,31.11
12/1/2003,32.13
1/1/2004,34.31
2/1/2004,34.69
3/1/2004,36.74
4/1/2004,36.75
5/1/2004,40.28
6/1/2004,38.03
7/1/2004,40.78
8/1/2004,44.9
9/1/2004,45.94
10/1/2004,53.28
11/1/2004,48.47
12/1/2004,43.15
1/1/2005,46.84
2/1/2005,48.15
3/1/2005,54.19
4/1/2005,52.98
5/1/2005,49.83
6/1/2005,56.35
7/1/2005,59
8/1/2005,64.99
9/1/2005,65.59
10/1/2005,62.26
11/1/2005,58.32
12/1/2005,59.41
1/1/2006,65.49
2/1/2006,61.63
3/1/2006,62.69
4/1/2006,69.44
5/1/2006,70.84
6/1/2006,70.95
7/1/2006,74.41
8/1/2006,73.04
9/1/2006,63.8
10/1/2006,58.89
11/1/2006,59.08
12/1/2006,61.96
1/1/2007,54.51
2/1/2007,59.28
3/1/2007,60.44
4/1/2007,63.98
5/1/2007,63.46
6/1/2007,67.49
7/1/2007,74.12
8/1/2007,72.36
9/1/2007,79.92
10/1/2007,85.8
11/1/2007,94.77
12/1/2007,91.69
1/1/2008,92.97
2/1/2008,95.39
3/1/2008,105.45
4/1/2008,112.58
5/1/2008,125.4
6/1/2008,133.88
7/1/2008,133.37
8/1/2008,116.67
9/1/2008,104.11
10/1/2008,76.61
11/1/2008,57.31
12/1/2008,41.12
1/1/2009,41.71
2/1/2009,39.09
3/1/2009,47.94
4/1/2009,49.65
5/1/2009,59.03
6/1/2009,69.64
7/1/2009,64.15
8/1/2009,71.05
9/1/2009,69.41
10/1/2009,75.72
11/1/2009,77.99
12/1/2009,74.47
1/1/2010,78.33
2/1/2010,76.39
3/1/2010,81.2
4/1/2010,84.29
5/1/2010,73.74
6/1/2010,75.34
7/1/2010,76.32
8/1/2010,76.6
9/1/2010,75.24
10/1/2010,81.89
11/1/2010,84.25
12/1/2010,89.15
1/1/2011,89.17
2/1/2011,88.58
3/1/2011,102.86
4/1/2011,109.53
5/1/2011,100.9
6/1/2011,96.26
7/1/2011,97.3
8/1/2011,86.33
9/1/2011,85.52
10/1/2011,86.32
11/1/2011,97.16
12/1/2011,98.56
1/1/2012,100.27
2/1/2012,102.2
3/1/2012,106.16
4/1/2012,103.32
5/1/2012,94.66
6/1/2012,82.3
7/1/2012,87.9
8/1/2012,94.13
9/1/2012,94.51
10/1/2012,89.49
11/1/2012,86.53
12/1/2012,87.86
1/1/2013,94.76
2/1/2013,95.31
3/1/2013,92.94
4/1/2013,92.02
5/1/2013,94.51
6/1/2013,95.77
7/1/2013,104.67
8/1/2013,106.57
9/1/2013,106.29
10/1/2013,100.54
11/1/2013,93.86
12/1/2013,97.63
1/1/2014,94.62
2/1/2014,100.82
3/1/2014,100.8
4/1/2014,102.07
5/1/2014,102.18
6/1/2014,105.79
7/1/2014,103.59
8/1/2014,96.54
9/1/2014,93.21
10/1/2014,84.4
11/1/2014,75.79
12/1/2014,59.29
1/1/2015,47.22
2/1/2015,50.58
3/1/2015,47.82
4/1/2015,54.45
5/1/2015,59.27
6/1/2015,59.82
7/1/2015,50.9
8/1/2015,42.87
9/1/2015,45.48
10/1/2015,46.22
11/1/2015,42.44
12/1/2015,37.19
1/1/2016,31.68
2/1/2016,30.32
3/1/2016,37.55
4/1/2016,40.75
5/1/2016,46.71
6/1/2016,48.76
7/1/2016,44.65
8/1/2016,44.72
9/1/2016,45.18
10/1/2016,49.78
11/1/2016,45.66
12/1/2016,51.97
1/1/2017,52.5
2/1/2017,53.47
3/1/2017,49.33
4/1/2017,51.06
5/1/2017,48.48
6/1/2017,45.18
7/1/2017,46.63
8/1/2017,48.04
9/1/2017,49.82
10/1/2017,51.58
11/1/2017,56.64
12/1/2017,57.88
1/1/2018,63.7
2/1/2018,62.23
3/1/2018,62.73
4/1/2018,66.25
5/1/2018,69.98
